subjectID,yr,lnPubs,gini,rnkCor,p01Pct,mdn01
5,1970,3.5328817,.22771326,.27388057,.087950751,2
5,1971,3.5992279,.25174367,.25374794,.10065425,5.5
5,1972,3.5671442,.23219386,.45018294,.081278786,2
5,1973,3.580925,.2352743,.069296308,.078740157,3
5,1974,3.5054214,.21880494,.24083668,0,
5,1975,3.593729,.23379672,.27699566,.12742099,6
5,1976,3.6049817,.24424094,.220733,.24832381,2
5,1977,3.5645478,.2368191,.37551394,.054510765,6.5
5,1978,3.6031444,.2355493,.43333504,.049875312,5
5,1979,3.6486528,.24735598,.66743612,.089827083,4.5
5,1980,3.6472852,.25272474,.558869,.13516557,6
5,1981,3.6021686,.25039554,.65923256,0,
5,1982,3.6212802,.25356787,.52307695,.11958861,2
5,1983,3.641474,.26644129,.2558451,.091324203,5.5
5,1984,3.6031444,.2684916,.27106357,.024937656,3
5,1985,3.5705431,.27967003,.50845706,.053763442,3
5,1986,3.6236627,.27381912,.4503141,.14272122,5
5,1987,3.5838785,.26887587,.25385481,.10427529,4.5
5,1988,3.589391,.28063044,.56582302,.12870012,3
5,1989,3.64434,.28113842,.49635702,.090723522,7.5
5,1990,3.6716356,.30196011,.57693118,.021299254,8
5,1991,3.7243578,.32403201,.58513892,.056593094,2
5,1992,3.6905506,.30478844,.53763092,.14274062,4
5,1993,3.7749548,.29764763,.55649012,.083948962,12
5,1994,3.7554173,.29209176,.63691288,.087811731,7
5,1995,3.6799726,.29111561,.53614855,.083577096,8.5
5,1996,3.6973166,.28335243,.57805234,.080305159,9
5,1997,3.7514331,.30857298,.67837709,.17724212,11
5,1998,3.7535064,.31451255,.70925462,.088198975,5
5,1999,3.754272,.31649205,.58993208,.052826203,6
5,2000,3.7457771,.32563648,.52897173,.10773927,9.5
5,2001,3.7759743,.31576619,.53403133,.11725293,4
5,2002,3.7435882,.32211697,.62474871,.054141853,8
5,2003,3.7604225,.3337419,.57253027,.19097222,6
5,2004,4.0788918,.3330377,.58351177,.016677786,7
5,2005,4.0195732,.33684373,.41057321,.019118631,2.5
5,2006,3.9348013,.34239846,.6853354,.0348594,5
5,2007,4.1561551,.35376221,.58116394,.013959656,5
5,2008,3.9272678,.35671112,.76290566,.035469379,3
5,2009,3.8922615,.36260703,.69957983,.064077921,3
5,2010,4.0044932,.35738495,.66526431,.029691212,1
5,2011,3.8674674,.35911095,.50771648,0,
5,2012,3.9290612,.3687045,.65677041,.011774402,2
5,2013,3.8684094,.37603742,.58283067,.013539128,1
5,2014,3.8697009,.37265313,.67256761,0,
5,2015,3.8130469,,,0,
6,1960,2.7671559,.21101671,,0,
6,1961,2.8785217,.15435223,,0,
6,1962,2.8876173,.1942012,.31304508,0,
6,1963,2.9547248,.20456086,,.33296338,9
6,1964,2.9623694,.23354964,.13609621,0,
6,1965,3.0390174,.21067463,,.091407679,20
6,1966,2.992995,.19649218,.16961099,.30487806,4
6,1967,3.2992892,.22772561,,.25100401,11
6,1968,3.4268365,.21234934,,.074850298,5
6,1969,3.4337699,.21196604,.21425477,0,
6,1970,3.3977664,.21543206,.2136917,0,
6,1971,3.3811152,.19891937,.41232896,.04158004,2
6,1972,3.4012282,.20915428,,0,
6,1973,3.3488886,.19500738,.19582765,.044782802,7
6,1974,3.3541083,.17408089,.20422858,0,
6,1975,3.3473301,.18953824,.11422662,0,
6,1976,3.4345689,.19511233,,.036764707,15
6,1977,3.6018429,.18126564,.22073655,.10005002,14.5
6,1978,3.6520529,.19171701,.27317587,.089126557,12
6,1979,3.6302245,.18585965,,.18744142,4.5
6,1980,3.6050894,.17535441,,.049652431,3
6,1981,3.5524249,.18218634,.26056498,.028026905,10
6,1982,3.5217917,.15772134,,.030075189,5
6,1983,3.4995496,.17606607,.28117499,.031655587,3
6,1984,3.5128179,.17094882,.28126958,.1842186,5
6,1985,3.5152113,.15076421,,.091603056,2
6,1986,3.4916418,.1586405,.16145056,.064474531,12.5
6,1987,3.4820156,.1515816,.15591165,.098879367,2
6,1988,3.4747989,.17787796,.37105817,.20107238,1
6,1989,3.4089179,.16478288,.17871253,.078003123,7
6,1990,3.4568214,.17970161,.12896414,0,
6,1991,3.4292676,.17190704,.42834434,.074432455,3.5
6,1992,3.4332898,.20670797,.26442271,.2581121,0
6,1993,3.3863206,.18088943,.15088955,.082169272,6
6,1994,3.4337699,.21252158,.44624865,.14732964,1.5
6,1995,3.4146392,.18073939,.26442394,.076982297,2.5
6,1996,3.4273238,.20283756,.22397025,.14953271,2.5
6,1997,3.4718783,.19923714,.24101065,.23616734,9
6,1998,3.5018804,.2210777,,.094458438,4
6,1999,3.4922016,.22225408,.55251616,.128783,6
6,2000,3.5422027,.24772328,.46908361,.14347202,5
6,2001,3.4976206,.23730628,.38885266,.25437203,5.5
6,2002,3.554368,.24957329,,.16741072,5
6,2003,3.6319509,.28384513,,.23337223,2
6,2004,3.6334684,.25378004,.36622676,.11627907,5
6,2005,3.6800635,.26868939,.44078502,.062669732,1
6,2006,3.702775,.26200575,.11080401,.03965107,8
6,2007,3.8269167,.26263222,.54340816,.029792938,2
6,2008,3.8510137,.26504144,.4473227,.056369785,2.5
6,2009,3.8732624,.24063475,.43270451,.026777346,3
6,2010,3.8953674,.24868712,.50903863,.012724265,4
6,2011,3.9233477,.23419005,.3527948,.07158196,.5
6,2012,3.90558,.23861228,.44159156,.012428536,2
6,2013,3.8860393,.2430542,.67937154,.10400416,0
6,2014,3.8904209,.24115753,,.025740026,0
6,2015,3.8027737,,,0,
7,1960,2.4653828,.24048707,,0,
7,1961,2.7937903,.26276776,,0,
7,1962,2.6627579,.20842509,,.2173913,9
7,1963,2.6875288,.1563675,,0,
7,1964,2.6294096,.22064032,.16488372,0,
7,1965,2.935003,.21295515,.40887129,.23228803,8.5
7,1966,3.2327421,.19974662,,.1170275,6
7,1967,3.4426365,.1626697,,.25261638,4
7,1968,3.5829718,.18187033,,.13061652,3
7,1969,3.6415732,.20164515,,.11412919,7
7,1970,3.6629467,.19018903,.13863975,.065189049,2
7,1971,3.6434526,.21333636,.22144616,.06818182,8
7,1972,3.6412756,.21081103,.1026465,.20557332,1
7,1973,3.6077766,.22451282,,.074019246,16
7,1974,3.583312,.20036724,.25757903,.078308538,6
7,1975,3.5725231,.19573471,,.0802783,11
7,1976,3.6305296,.20966929,.15588844,.093654878,3.5
7,1977,3.8335934,.20161152,.2710366,.058676839,9
7,1978,3.851136,.21402489,.40298089,.028176952,10
7,1979,3.853394,.20714892,.38578236,.014015417,0
7,1980,3.852602,.21555454,.29526916,0,
7,1981,3.8103669,.21336447,.37118292,.077375427,5
